Orders for: a


Pending orders:
| Name                      |      Type      | Paid? |    Size    |  Price  |   Weight   | ID        |
| abbaleiztjpzh             | Envelope       | No    | 955.92     | $9.13   | 20.04 kg   | 600       |
| acevfuabuxwymxiwtaw       | Parcel         | No    | 10624.80   | $112.16 | 84.62 kg   | 727       |
| acpjzsnaclmnuqnbdifzluj   | Parcel         | No    | 21628.78   | $74.41  | 43.99 kg   | 348       |
| acsiasptskqyhitauzfablpq  | Truck Delivery | No    | Special    | $50.00  | 7.12 kg    | 479       |
| acwyhsgewzmtgonzltj       | Envelope       | No    | 234.83     | $2.00   | 61.00 kg   | 67        |
| aearw                     | Truck Delivery | No    | Special    | $108.40 | 148.66 kg  | 65        |
| aefqzaauldrchjccdyrfvvriv | Truck Delivery | No    | Special    | $305.31 | 312.76 kg  | 69        |
| aggcxfgrjmarwupaybnqgudbe | Truck Delivery | No    | Special    | $258.65 | 273.88 kg  | 443       |
| agxeyedgrxtmpbjbtduesrrfo | Envelope       | No    | 388.65     | $3.46   | 61.02 kg   | 1006      |
| ahyyayzkhuhjrjsvoqh       | Truck Delivery | No    | Special    | $244.47 | 262.05 kg  | 171       |
| aiovcwtmvgtgcmgrkhrp      | Envelope       | No    | 219.50     | $2.00   | 72.57 kg   | 890       |
| amvafyrarxsvkhtq          | Envelope       | No    | 86.13      | $2.00   | 63.36 kg   | 55        |
| amzottcjtuegmpqk          | Truck Delivery | No    | Special    | $166.22 | 196.85 kg  | 230       |
| aoiojlwhypnvruihoswkif    | Truck Delivery | No    | Special    | $50.00  | 67.66 kg   | 66        |
| aolsvubpy                 | Envelope       | No    | 34.79      | $2.00   | 23.21 kg   | 304       |
| apludlbegdrhptk           | Envelope       | No    | 17.36      | $2.00   | 8.05 kg    | 638       |
| aqkxzehzeg                | Envelope       | No    | 424.85     | $3.82   | 8.80 kg    | 585       |
| aqtcyr                    | Truck Delivery | No    | Special    | $156.18 | 188.49 kg  | 718       |
| aqviouhhdenowzyxezbq      | Truck Delivery | No    | Special    | $269.02 | 282.51 kg  | 698       |
| aqwcgpwvnkrvkc            | Envelope       | No    | 991.55     | $9.49   | 29.79 kg   | 628       |
| aqzxugkva                 | Parcel         | No    | 108869.47  | $207.40 | 82.11 kg   | 222       |
| arcsfijylbiimofgxeirpb    | Envelope       | No    | 229.00     | $2.00   | 23.21 kg   | 214       |
| arrbphnzwkbclgbvocyuz     | Truck Delivery | No    | Special    | $226.00 | 246.66 kg  | 576       |
| asmuohhohsdyuyzpylvp      | Parcel         | No    | 1565.36    | $111.47 | 91.58 kg   | 803       |
| aszsgovsodkjghc           | Truck Delivery | No    | Special    | $286.44 | 297.04 kg  | 51        |
| atowzabsdnv               | Parcel         | No    | 543237.93  | $615.01 | 59.81 kg   | 123       |
| aukzhjolo                 | Truck Delivery | No    | Special    | $50.00  | 95.97 kg   | 1017      |
| avdqamnfhwf               | Envelope       | No    | 629.74     | $5.87   | 67.58 kg   | 249       |
| avkhvwnvemhmc             | Envelope       | No    | 739.51     | $6.97   | 20.75 kg   | 764       |
| aymoivfhjlrwyaxawgeurb    | Envelope       | No    | 60.38      | $2.00   | 18.27 kg   | 396       |
| azgaigrnbcqjcwyv          | Parcel         | No    | 102135.22  | $214.13 | 93.33 kg   | 701       |
| badnnxnpqbglcsg           | Truck Delivery | No    | Special    | $250.85 | 267.38 kg  | 970       |
| bafpfmowg                 | Parcel         | No    | 128446.62  | $237.95 | 91.26 kg   | 100       |
| bamrykbokmwgsddpqkrzyj    | Parcel         | No    | 157615.70  | $183.33 | 21.43 kg   | 220       |
| bazkleewjyne              | Envelope       | No    | 735.44     | $6.93   | 91.43 kg   | 610       |
| bazlpdevpezpbwshvpckldq   | Truck Delivery | No    | Special    | $216.51 | 238.75 kg  | 323       |
| bbbvoqozkynayyrb          | Truck Delivery | No    | Special    | $50.00  | 83.87 kg   | 139       |
| bcvasbikjtn               | Parcel         | No    | 115174.75  | $182.87 | 56.41 kg   | 901       |
| bcvlgnefhpwiwuinnfvplgxtu | Truck Delivery | No    | Special    | $50.00  | 93.04 kg   | 862       |
| bcxfd                     | Parcel         | No    | 191322.75  | $199.15 | 6.53 kg    | 973       |
| bdjevvjjoqrbmaqvjqkqwhap  | Envelope       | No    | 558.00     | $5.16   | 9.69 kg    | 666       |
| bdoqjhveigve              | Envelope       | No    | 30.94      | $2.00   | 42.16 kg   | 635       |
| beplttriabw               | Parcel         | No    | 42436.64   | $135.67 | 77.69 kg   | 253       |
| bezawpyzaudw              | Envelope       | No    | 1022.30    | $9.80   | 8.13 kg    | 622       |
| bfcvkdzezt                | Envelope       | No    | 222.82     | $2.00   | 12.82 kg   | 44        |
| bfnhjzqvoxkukylzc         | Truck Delivery | No    | Special    | $50.00  | 57.13 kg   | 347       |
| bgkvypxfsmqhibngj         | Envelope       | No    | 486.19     | $4.44   | 88.13 kg   | 489       |
| bhmkqlwhqnghlvlzgppxo     | Parcel         | No    | 174766.84  | $235.89 | 50.93 kg   | 273       |
| bhzfnwyw                  | Parcel         | No    | 292717.68  | $313.82 | 17.59 kg   | 179       |
| bicrfxdiog                | Truck Delivery | No    | Special    | $111.17 | 150.97 kg  | 302       |
| bkewfekrcihhxjeigutwigdbb | Truck Delivery | No    | Special    | $105.62 | 146.35 kg  | 559       |
| bkpmesu                   | Parcel         | No    | 113822.17  | $196.95 | 69.27 kg   | 261       |
| bkrjlpgfgratzbsguvzi      | Parcel         | No    | 121097.41  | $158.30 | 31.01 kg   | 130       |
| blsgwnkvjlnivq            | Truck Delivery | No    | Special    | $137.74 | 173.11 kg  | 218       |
| blvwaajiqugtaoqmemjlhgox  | Envelope       | No    | 1736.29    | $16.94  | 42.54 kg   | 362       |
| bnmngyjvvwtabktybjr       | Envelope       | No    | 0.86       | $2.00   | 27.20 kg   | 838       |
| bnybnwydh                 | Envelope       | No    | 620.83     | $5.78   | 45.88 kg   | 1023      |
| booxobhxr                 | Envelope       | No    | 32.01      | $2.00   | 22.79 kg   | 716       |
| bqdfqwepncxcyzhp          | Envelope       | No    | 199.92     | $2.00   | 11.05 kg   | 888       |
| brmbvgaowlvdjyddyctcock   | Envelope       | No    | 435.03     | $3.93   | 34.06 kg   | 560       |
| brymvtnguiwrjm            | Parcel         | No    | 7220.47    | $27.66  | 17.04 kg   | 851       |
| btuswzumsqoykiidf         | Truck Delivery | No    | Special    | $50.00  | 28.38 kg   | 395       |
| buibjwqhogacfprvcczih     | Truck Delivery | No    | Special    | $242.75 | 260.63 kg  | 969       |
| buredxuzrnsyvqwvwndwjod   | Envelope       | No    | 218.77     | $2.00   | 86.29 kg   | 976       |
| buufjvgzpdfsc             | Truck Delivery | No    | Special    | $50.00  | 18.45 kg   | 619       |
| buvghcwsrgcuikqkeew       | Envelope       | No    | 1144.47    | $11.02  | 38.27 kg   | 917       |
| bvospe                    | Envelope       | No    | 1301.85    | $12.59  | 17.80 kg   | 789       |
| bwmngmkga                 | Envelope       | No    | 1733.96    | $16.91  | 11.48 kg   | 1010      |
| bxrcbwfbrw                | Envelope       | No    | 562.85     | $5.20   | 11.12 kg   | 733       |
| bxujqyyokcjgbecatm        | Envelope       | No    | 1522.17    | $14.80  | 23.73 kg   | 686       |
| bybvebyerlkqqbasqgxn      | Parcel         | No    | 24986.30   | $122.07 | 80.91 kg   | 815       |
| bzctxludvycrpzmapivxewb   | Truck Delivery | No    | Special    | $225.87 | 246.55 kg  | 935       |
| bzgketqki                 | Parcel         | No    | 11938.56   | $30.93  | 15.83 kg   | 558       |
| ccefkbemgsdymzmmkw        | Truck Delivery | No    | Special    | $61.71  | 109.76 kg  | 199       |
| cctayv                    | Envelope       | No    | 0.00       | $2.00   | 86.59 kg   | 609       |
| cdmgzjeibter              | Truck Delivery | No    | Special    | $103.42 | 144.52 kg  | 639       |
| cegliuuqvbujriyvf         | Truck Delivery | No    | Special    | $76.76  | 122.30 kg  | 936       |
| cfbbjjyfsv                | Envelope       | No    | 12.44      | $2.00   | 16.53 kg   | 343       |
| cfqmwhbvssiigvijsuxiic    | Truck Delivery | No    | Special    | $53.23  | 102.69 kg  | 188       |
| cgnwmoyedhovgnobr         | Envelope       | No    | 152.71     | $2.00   | 63.88 kg   | 1007      |
| chhgfmizrcklyhbpjjzrrug   | Truck Delivery | No    | Special    | $50.00  | 5.51 kg    | 572       |
| chjpxcqwnwcfznzr          | Truck Delivery | No    | Special    | $186.18 | 213.49 kg  | 741       |
| ciidgzfvgqvze             | Envelope       | No    | 1626.35    | $15.84  | 17.37 kg   | 625       |
| cimcnlhqodemakmunmaxiomk  | Truck Delivery | No    | Special    | $138.39 | 173.66 kg  | 235       |
| cknbuz                    | Envelope       | No    | 520.01     | $4.78   | 13.68 kg   | 758       |
| claaioissi                | Truck Delivery | No    | Special    | $211.83 | 234.86 kg  | 308       |
| clsshvkmywjx              | Envelope       | No    | 1011.13    | $9.69   | 61.02 kg   | 370       |
| cmhgdnmphnqkamh           | Truck Delivery | No    | Special    | $260.92 | 275.76 kg  | 72        |
| cnkyvoguwpiiktaj          | Envelope       | No    | 193.34     | $2.00   | 79.84 kg   | 636       |
| codwbtu                   | Truck Delivery | No    | Special    | $199.17 | 224.30 kg  | 985       |
| cpaowazfeurgpbf           | Envelope       | No    | 355.30     | $3.13   | 30.76 kg   | 339       |
| cpxif                     | Parcel         | No    | 152748.93  | $181.65 | 24.09 kg   | 37        |
| cqauzyow                  | Truck Delivery | No    | Special    | $239.49 | 257.91 kg  | 288       |
| cqpevikeffmz              | Truck Delivery | No    | Special    | $219.00 | 240.83 kg  | 3         |
| cqwxllnnbfnonushmv        | Truck Delivery | No    | Special    | $109.23 | 149.36 kg  | 780       |
| cqyxejhg                  | Truck Delivery | No    | Special    | $50.00  | 4.75 kg    | 597       |
| crfjzayvipibpa            | Parcel         | No    | 138980.45  | $151.67 | 10.58 kg   | 878       |
| croesdtdlzthujqupnrrk     | Parcel         | No    | 26649.08   | $72.00  | 37.79 kg   | 668       |
| crswsaznmoijoivvg         | Parcel         | No    | 186480.29  | $210.25 | 19.80 kg   | 94        |
| csurucsdskg               | Envelope       | No    | 185.16     | $2.00   | 9.63 kg    | 693       |
| cthynmuxqkwwmtfisgglgcox  | Envelope       | No    | 0.53       | $2.00   | 24.82 kg   | 219       |
| ctkfz                     | Truck Delivery | No    | Special    | $50.00  | 46.13 kg   | 654       |
| ctlegenlltvkzdqowgoljpdsy | Envelope       | No    | 501.54     | $4.59   | 24.15 kg   | 453       |
| cuevznwrcn                | Parcel         | No    | 21889.12   | $114.25 | 76.97 kg   | 805       |
| cugbidvbxrnsaqwxt         | Truck Delivery | No    | Special    | $256.41 | 272.01 kg  | 416       |
| cugghonu                  | Truck Delivery | No    | Special    | $109.66 | 149.72 kg  | 462       |
| cvkca                     | Parcel         | No    | 785.17     | $43.18  | 35.33 kg   | 287       |
| cwnnd                     | Envelope       | No    | 838.65     | $7.96   | 20.32 kg   | 613       |
| cxkwvixvfhqfawk           | Parcel         | No    | 232818.32  | $259.61 | 22.33 kg   | 268       |
| czotvi                    | Truck Delivery | No    | Special    | $60.23  | 108.52 kg  | 640       |
| czpddb                    | Truck Delivery | No    | Special    | $122.73 | 160.61 kg  | 754       |
| dagjcsexmpjt              | Parcel         | No    | 139119.71  | $196.77 | 48.04 kg   | 893       |
| dbdzvnjdakgvqxhgkas       | Parcel         | No    | 13163.05   | $37.47  | 20.26 kg   | 620       |
| dcgtfoxkpjmrcixns         | Parcel         | No    | 14659.42   | $119.77 | 87.59 kg   | 669       |
| ddapswptfvovujiuwbmi      | Parcel         | No    | 517651.50  | $556.15 | 32.09 kg   | 311       |
| ddweqdoh                  | Envelope       | No    | 981.78     | $9.39   | 56.15 kg   | 516       |
| deuhcsumykhyyhhby         | Envelope       | No    | 438.58     | $3.96   | 71.61 kg   | 1008      |
| dewdmfnqwcuqdsciliqec     | Envelope       | No    | 266.13     | $2.24   | 37.86 kg   | 128       |
| dfuroujregcey             | Envelope       | No    | 954.25     | $9.12   | 48.88 kg   | 792       |
| dfuujko                   | Truck Delivery | No    | Special    | $50.00  | 33.50 kg   | 97        |
| dksdgpmhhda               | Truck Delivery | No    | Special    | $117.21 | 156.00 kg  | 366       |
| dmlxukwyzcprskwgxulsuckb  | Parcel         | No    | 91995.70   | $161.85 | 58.22 kg   | 175       |
| dmvzcautdcckxaay          | Envelope       | No    | 135.60     | $2.00   | 17.77 kg   | 76        |
| dppxzzyorylrspvyoen       | Truck Delivery | No    | Special    | $307.70 | 314.75 kg  | 767       |
| dpuihijdttcouhptxjqs      | Parcel         | No    | 686242.43  | $707.12 | 17.40 kg   | 811       |
| dqsvmterdfblh             | Envelope       | No    | 44.17      | $2.00   | 11.75 kg   | 213       |
| dqtmfxobkhxgkzhtiqtxgios  | Envelope       | No    | 320.19     | $2.78   | 85.32 kg   | 753       |
| dqyoxytjbbha              | Truck Delivery | No    | Special    | $285.40 | 296.17 kg  | 26        |
| dsadnftndfstbwd           | Parcel         | No    | 553824.68  | $633.88 | 66.72 kg   | 906       |
| duvytmamfewfyhnzqmmqubucc | Parcel         | No    | 46788.54   | $75.26  | 23.73 kg   | 966       |
| duxwfnfozvsrtkjpr         | Parcel         | No    | 56100.34   | $122.66 | 55.47 kg   | 1         |
| dvfepvlhvhrwtfdukxf       | Parcel         | No    | 333130.37  | $424.58 | 76.20 kg   | 98        |
| dvkzebnligkjfswcxw        | Truck Delivery | No    | Special    | $94.35  | 136.96 kg  | 493       |
| dvmqllmeiz                | Parcel         | No    | 49824.33   | $69.58  | 16.46 kg   | 926       |
| dwelpdjmmbpdupzvtvj       | Truck Delivery | No    | Special    | $50.00  | 1.54 kg    | 461       |
| dwwoedklqenafb            | Parcel         | No    | 21164.83   | $64.08  | 35.77 kg   | 471       |
| dxlozmcq                  | Envelope       | No    | 4.18       | $2.00   | 3.53 kg    | 469       |
| dxvaahguigpsglhabnqbwtq   | Envelope       | No    | 22.40      | $2.00   | 96.05 kg   | 587       |
| dyafawqgqbtdgff           | Envelope       | No    | 19.11      | $2.00   | 65.40 kg   | 544       |
| dywiazcbehqyphwi          | Parcel         | No    | 85715.00   | $91.66  | 4.96 kg    | 944       |
| dzfkpfkhwg                | Envelope       | No    | 457.19     | $4.15   | 73.00 kg   | 817       |
| dzivcuypurfmbisgekyrgz    | Envelope       | No    | 239.49     | $2.00   | 45.15 kg   | 54        |
| eahscsnsiimbmtj           | Parcel         | No    | 20736.84   | $44.98  | 20.20 kg   | 604       |
| eamdcjbprhtnegyiwxgcjw    | Parcel         | No    | 20392.08   | $138.71 | 98.59 kg   | 64        |
| eashnrohuvogldx           | Envelope       | No    | 128.75     | $2.00   | 62.06 kg   | 380       |
| ebcwlrqhxoq               | Truck Delivery | No    | Special    | $133.91 | 169.92 kg  | 974       |
| ebksucvzqlyqnwcmbvbhrm    | Truck Delivery | No    | Special    | $109.56 | 149.63 kg  | 105       |
| ebpyw                     | Envelope       | No    | 58.57      | $2.00   | 67.66 kg   | 295       |
| ecdwracgfmzkgipdfodkj     | Truck Delivery | No    | Special    | $82.67  | 127.23 kg  | 60        |
| ecqqnlemk                 | Truck Delivery | No    | Special    | $50.00  | 57.58 kg   | 368       |
| ectna                     | Envelope       | No    | 104.41     | $2.00   | 77.11 kg   | 477       |
| edyyhngycdrudmphmec       | Envelope       | No    | 284.24     | $2.42   | 86.66 kg   | 49        |
| eejqdfp                   | Envelope       | No    | 670.61     | $6.28   | 82.05 kg   | 742       |
| eexbaebcisvm              | Envelope       | No    | 278.12     | $2.36   | 45.50 kg   | 791       |
| efnaslxwxllxlewtzu        | Truck Delivery | No    | Special    | $174.30 | 203.58 kg  | 429       |
| eghmfbmvklsqfub           | Truck Delivery | No    | Special    | $233.85 | 253.21 kg  | 319       |
| ehlbtmbwn                 | Truck Delivery | No    | Special    | $317.54 | 322.95 kg  | 369       |
| ehrulpgkozuywmobcdlbofbj  | Parcel         | No    | 205343.23  | $254.86 | 41.27 kg   | 483       |
| ehtxdzujtlntxmr           | Envelope       | No    | 205.69     | $2.00   | 20.29 kg   | 89        |
| ekxglixlaxxtolhgl         | Parcel         | No    | 48856.05   | $97.72  | 40.72 kg   | 316       |
| empnjqcaelfyyv            | Parcel         | No    | 15093.65   | $112.02 | 80.77 kg   | 644       |
| eneiqw                    | Parcel         | No    | 11822.35   | $19.39  | 6.31 kg    | 430       |
| enkrxabrfzzrnpuxztavypp   | Envelope       | No    | 154.67     | $2.00   | 56.45 kg   | 1009      |
| enksppw                   | Truck Delivery | No    | Special    | $50.00  | 95.30 kg   | 306       |
| envpkvygunpaboujvir       | Envelope       | No    | 276.20     | $2.34   | 61.31 kg   | 476       |
| epagwhroqkhwudb           | Envelope       | No    | 504.33     | $4.62   | 6.68 kg    | 221       |
| epxejxxfvjeglkctgavrygk   | Envelope       | No    | 769.63     | $7.27   | 49.11 kg   | 689       |
| erayxdznpgksdfp           | Truck Delivery | No    | Special    | $138.83 | 174.02 kg  | 490       |
| ercteeqdvdlrwamnkyxjsxp   | Truck Delivery | No    | Special    | $127.53 | 164.61 kg  | 488       |
| esfyhnidzhvm              | Parcel         | No    | 73099.13   | $95.94  | 19.04 kg   | 647       |
| etaerlhhfh                | Parcel         | No    | 11603.37   | $44.83  | 27.69 kg   | 816       |
| eterqpjjwaknkxtl          | Envelope       | No    | 8.57       | $2.00   | 31.10 kg   | 275       |
| etonx                     | Envelope       | No    | 1001.57    | $9.59   | 19.01 kg   | 183       |
| evdggatfiekixeyrf         | Truck Delivery | No    | Special    | $171.35 | 201.13 kg  | 269       |
| evruablogglphjmprvrqo     | Parcel         | No    | 8411.38    | $119.43 | 92.51 kg   | 919       |
| ewqyckwexzpmiexgrjxjmdwb  | Envelope       | No    | 796.28     | $7.54   | 96.90 kg   | 575       |
| exiuqeuyrcudqhyyzr        | Envelope       | No    | 184.00     | $2.00   | 89.82 kg   | 958       |
| exuurspattalnf            | Truck Delivery | No    | Special    | $75.27  | 121.05 kg  | 663       |
| eyavyrsplmksqgblop        | Parcel         | No    | 369194.68  | $479.79 | 92.16 kg   | 989       |
| eziwlijvysyilpj           | Envelope       | No    | 2.29       | $2.00   | 36.48 kg   | 940       |
| ezjfxchwddxonzmnjvlrjxrx  | Truck Delivery | No    | Special    | $260.52 | 275.44 kg  | 487       |
| faclvgrzkkldacllteoj      | Envelope       | No    | 456.06     | $4.14   | 21.44 kg   | 73        |
| fadpooefxzbcoejuvpvabo    | Truck Delivery | No    | Special    | $50.00  | 11.50 kg   | 5         |
| fatcanc                   | Parcel         | No    | 13251.82   | $21.68  | 7.03 kg    | 334       |
| fbdvfuy                   | Parcel         | No    | 8760.61    | $18.32  | 7.97 kg    | 498       |
| fbeostfvskrebtljhz        | Parcel         | No    | 174869.71  | $199.96 | 20.91 kg   | 539       |
| fcuhcnscq                 | Parcel         | No    | 22757.31   | $29.38  | 5.52 kg    | 582       |
| fdjjbazsvopqheouddjethwmg | Envelope       | No    | 1359.47    | $13.17  | 23.10 kg   | 721       |
| fdutwplpefbrkrzee         | Parcel         | No    | 39448.56   | $128.71 | 74.38 kg   | 824       |
| fgopgminkiwhnqodmlbnzpcg  | Truck Delivery | No    | Special    | $50.00  | 18.66 kg   | 883       |
| fguproqylobcwqxkzma       | Envelope       | No    | 1233.60    | $11.91  | 70.32 kg   | 71        |
| fgwtpepunugeajdgzsjews    | Truck Delivery | No    | Special    | $207.57 | 231.30 kg  | 556       |
| fibdvemun                 | Parcel         | No    | 1566.38    | $101.97 | 83.66 kg   | 264       |
| fidtkoxzecwnvdi           | Parcel         | No    | 20615.80   | $94.54  | 61.61 kg   | 841       |
| fiubzyblwmparmjdspxyw     | Parcel         | No    | 1840.07    | $116.63 | 95.66 kg   | 404       |
| fjjfytkxlbnvmdwsyx        | Truck Delivery | No    | Special    | $286.37 | 296.98 kg  | 391       |
| fjtvquitivyhzpx           | Truck Delivery | No    | Special    | $319.10 | 324.25 kg  | 333       |
| fkknaknhuifjuuzsfc        | Parcel         | No    | 25697.90   | $56.41  | 25.60 kg   | 856       |
| fkwowycneo                | Parcel         | No    | 29569.29   | $122.58 | 77.51 kg   | 853       |
| fmajfhqyudwtigbjtmqm      | Truck Delivery | No    | Special    | $308.27 | 315.23 kg  | 456       |
| fmeicgguzxhrdjzzheruswav  | Parcel         | No    | 41609.72   | $112.49 | 59.07 kg   | 240       |
| focenywxgeacxrwepiiqk     | Parcel         | No    | 1171.70    | $22.08  | 17.43 kg   | 750       |
| fotia                     | Truck Delivery | No    | Special    | $50.00  | 30.79 kg   | 351       |
| fpfycgfieowqrwwwpzsqmet   | Parcel         | No    | 291137.90  | $296.82 | 4.74 kg    | 58        |
| fpkduulifzdpohcgubkureh   | Truck Delivery | No    | Special    | $59.98  | 108.32 kg  | 326       |
| fpmtboyuprarcjp           | Envelope       | No    | 664.24     | $6.22   | 44.41 kg   | 777       |
| fpnjzy                    | Truck Delivery | No    | Special    | $211.44 | 234.53 kg  | 372       |
| fraamdi                   | Truck Delivery | No    | Special    | $298.34 | 306.95 kg  | 31        |
| frmxothowkbjzwucwljfrimpm | Parcel         | No    | 24625.91   | $60.27  | 29.70 kg   | 35        |
| fshccxhuuyyhtgdglfc       | Envelope       | No    | 236.64     | $2.00   | 28.32 kg   | 196       |
| fsnusuwecjjlcx            | Truck Delivery | No    | Special    | $50.00  | 93.98 kg   | 751       |
| fszwxbqmur                | Envelope       | No    | 512.69     | $4.70   | 87.05 kg   | 161       |
| ftgvxsxeuoijsqxnfv        | Envelope       | No    | 567.05     | $5.25   | 90.34 kg   | 922       |
| fukejgje                  | Envelope       | No    | 851.48     | $8.09   | 89.87 kg   | 979       |
| fullluoycnhofisjnnnx      | Truck Delivery | No    | Special    | $143.56 | 177.97 kg  | 839       |
| fuoebheeteu               | Parcel         | No    | 3801.01    | $10.70  | 5.75 kg    | 886       |
| fvglxolymflmknanrzpz      | Envelope       | No    | 559.43     | $5.17   | 80.91 kg   | 794       |
| fvkmwwpgpljeawpvapihox    | Parcel         | No    | 329563.21  | $372.66 | 35.91 kg   | 297       |
| fvpzhyujabtqwwtbkdogkemh  | Envelope       | No    | 1413.41    | $13.71  | 6.35 kg    | 150       |
| fvsdd                     | Parcel         | No    | 25506.95   | $101.51 | 63.34 kg   | 120       |
| fwjenzsbdo                | Envelope       | No    | 601.46     | $5.59   | 60.52 kg   | 797       |
| fwmuqdswilnjnirud         | Truck Delivery | No    | Special    | $155.02 | 187.52 kg  | 770       |
| fwnwggybzmcfbsrckyo       | Envelope       | No    | 88.13      | $2.00   | 6.32 kg    | 925       |
| fybghlxw                  | Envelope       | No    | 142.39     | $2.00   | 33.06 kg   | 806       |
| fyiaistvhbzvroovjf        | Envelope       | No    | 305.59     | $2.63   | 51.72 kg   | 591       |
| fyogvfrny                 | Parcel         | No    | 671169.31  | $777.10 | 88.27 kg   | 542       |
| fzfgykzm                  | Truck Delivery | No    | Special    | $209.88 | 233.24 kg  | 465       |
| fzthyumquowldnovu         | Parcel         | No    | 193378.03  | $308.05 | 95.55 kg   | 588       |
| fzxfjqoverscjzbk          | Parcel         | No    | 90532.12   | $109.79 | 16.04 kg   | 400       |
| gaiaioiiedby              | Truck Delivery | No    | Special    | $50.00  | 85.97 kg   | 408       |
| gbbdhlsicutfmmj           | Envelope       | No    | 182.78     | $2.00   | 25.78 kg   | 540       |
| gbfviocfwxwdrnlffbfhvyxz  | Parcel         | No    | 0.00       | $4.10   | 3.42 kg    | 232       |
| gcaiwswfy                 | Parcel         | No    | 188909.00  | $245.66 | 47.29 kg   | 457       |
| gdexur                    | Truck Delivery | No    | Special    | $50.00  | 76.69 kg   | 1015      |
